         664316 function calls (653253 primitive calls) in 2.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      354    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       17    0.000    0.000    0.005    0.000 enum.py:394(_create_)
        1    0.000    0.000    0.293    0.293 pyplot.py:19(<module>)
        2    0.000    0.000    0.029    0.014 __init__.py:9(<module>)
       32    0.000    0.000    0.005    0.000 colors.py:915(from_list)
      426    0.000    0.000    0.004    0.000 colors.py:137(is_color_like)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
        1    0.000    0.000    0.023    0.023 pyparsing.py:96(<module>)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        2    0.000    0.000    0.350    0.175 __init__.py:7(<module>)
      355    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       11    0.000    0.000    0.000    0.000 function.py:102(__init__)
      769    0.000    0.000    0.000    0.000 __init__.py:825(<lambda>)
       37    0.000    0.000    0.005    0.000 __init__.py:1252(_add_data_doc)
       17    0.000    0.000    0.005    0.000 rcsetup.py:880(validate_cycler)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      171    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      138    0.000    0.000    0.004    0.000 rcsetup.py:85(f)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
      117    0.000    0.000    0.003    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2506(<listcomp>)
      426    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      192    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      196    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      163    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4442(__init__)
      709    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
     2138    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
       30    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
      239    0.000    0.000    0.003    0.000 rcsetup.py:370(validate_color_for_prop_cycle)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
       27    0.000    0.000    0.009    0.000 pyparsing.py:3294(__init__)
        1    0.000    0.000    0.094    0.094 rcsetup.py:14(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       40    0.000    0.000    0.002    0.000 typing.py:765(__getitem_inner__)
       60    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        7    0.000    0.000    0.007    0.001 tokenize.py:443(open)
      722    0.000    0.000    0.000    0.000 rcsetup.py:241(validator)
        1    0.000    0.000    0.025    0.025 core.py:179(read_style_directory)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      202    0.000    0.000    0.016    0.000 traceback.py:282(line)
       32    0.000    0.000    0.002    0.000 colors.py:302(to_rgba_array)
     1955    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      392    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.444    0.444 __init__.py:82(<module>)
      779    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.007    0.007 cm.py:32(_gen_cmap_registry)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       32    0.000    0.000    0.000    0.000 typing.py:535(__init__)
      108    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        3    0.000    0.000    0.021    0.007 __init__.py:3(<module>)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
       81    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       81    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
        1    0.000    0.000    0.004    0.004 subprocess.py:681(__init__)
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3968(copy)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        1    0.000    0.000    0.000    0.000 __init__.py:835(<dictcomp>)
      101    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
        2    0.000    0.000    0.000    0.000 traceback.py:385(format)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      117    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
      100    0.000    0.000    0.002    0.000 typing.py:749(__getitem__)
        1    0.000    0.000    0.004    0.004 subprocess.py:1412(_execute_child)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
        1    0.000    0.000    0.046    0.046 __init__.py:72(<module>)
      494    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      213    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
     56/9    0.000    0.000    0.003    0.000 pyparsing.py:3897(leaveWhitespace)
      448    0.000    0.000    0.001    0.000 _tensor_docs.py:8(add_docstr_all)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
      115    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.220    0.220 __init__.py:106(<module>)
        1    0.000    0.000    0.025    0.025 Image.py:27(<module>)
    84/52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      503    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      192    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       32    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1807    0.000    0.000    0.000    0.000 __init__.py:709(<lambda>)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
       64    0.000    0.000    0.003    0.000 rcsetup.py:104(<listcomp>)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
      432    0.000    0.000    0.000    0.000 colors.py:241(<genexpr>)
      166    0.000    0.000    0.000    0.000 colors.py:564(__init__)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      254    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
      677    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      712    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       63    0.000    0.000    0.001    0.000 colors.py:987(<dictcomp>)
      380    0.000    0.000    0.021    0.000 __init__.py:604(__getitem__)
      137    0.000    0.000    0.000    0.000 pyplot.py:2040(<genexpr>)
       30    0.000    0.000    0.002    0.000 _collections_abc.py:824(update)
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3970(<listcomp>)
        1    0.000    0.000    0.006    0.006 kl.py:1(<module>)
      114    0.000    0.000    0.016    0.000 linecache.py:37(getlines)
       85    0.000    0.000    0.001    0.000 deprecation.py:241(finalize)
